original_Name,original_Address,original_City,original_State,lat,lon,formatted,suburb,housenumber,name,street,postcode,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
PETRO ATLANTA #6322,1-285 Exit 12 at Donald Lee Hol- lowell Hwy,Atlanta,GA,33.7489924,-84.3902644,"Atlanta, GA, United States of America",,,,,,,Atlanta,Fulton County,Georgia,GA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #331,1-285 Exit 51,Atlanta,GA,33.7489924,-84.3902644,"Atlanta, GA, United States of America",,,,,,,Atlanta,Fulton County,Georgia,GA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #909,1-285 Exit 53,Conley,GA,33.6448311,-84.3257571,"Conley (Conley), GA 30288, United States of America",,,Conley,,30288,,Conley,Clayton County,Georgia,GA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #260,Hwy 300 & Clark Ave,Albany,GA,31.5782062,-84.1556809,"Albany, GA, United States of America",,,,,,,Albany,Dougherty County,Georgia,GA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #192,1-75 Exit 60,Tifton,GA,31.4549719,-83.5108284,"Tifton, GA, United States of America",,,,,,,Tifton,Tift County,Georgia,GA,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PILOT TRAVEL CENTER #313,1-55/70 Exit 4,East St. Louis,IL,38.6268666,-90.159707,"East Saint Louis, IL, United States of America",,,,,,,East Saint Louis,Saint Clair County,Illinois,IL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FLYING J #642,1-255 Exit 17A,Alorton,IL,38.58979,-90.1200498,"Alorton, IL, United States of America",,,,,,,Alorton,Saint Clair County,Illinois,IL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ROAD RANGER #378,1-55 Exit 288,Chicago,IL,41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,,,Chicago,Cook County,Illinois,IL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
MR. FUEL #1020,1-80 & 1-94 Exit 15B,Lake Station,IN,41.5750369,-87.2389246,"Lake Station, IN 46405, United States of America",,,,,46405,,Lake Station,Lake County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TA LAKE STATION #6219,1-80/1-94 Exit 158,Lake Station,IN,41.5750369,-87.2389246,"Lake Station, IN 46405, United States of America",,,,,46405,,Lake Station,Lake County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LOVE'S #417,1-94 Exit 9,Gary,IN,41.6020962,-87.3370646,"Gary, IN, United States of America",,,,,,,Gary,Lake County,Indiana,IN,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
